Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Outcome,1B outcome,2B outcome,3B outcome
,,Rak,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Jack M,Dom,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,Walk,FALSE,TRUE,FALSE
,,Plant,Curveball,FALSE,TRUE,,FALSE,TRUE,FALSE
,,Plant,Fastball,FALSE,FALSE,,FALSE,TRUE,FALSE
,,Plant,Curveball,FALSE,TRUE,,FALSE,TRUE,FALSE
,,Plant,Curveball,FALSE,FALSE,,FALSE,FALSE,TRUE
,,Plant,Curveball,TRUE,TRUE,Out,FALSE,FALSE,TRUE
,,Bondoc,Fastball,FALSE,FALSE,,FALSE,FALSE,TRUE
,,Bondoc,Curveball,FALSE,FALSE,,FALSE,FALSE,TRUE
,,Bondoc,Fastball,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Dame,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Curveball,FALSE,TRUE,Out,FALSE,FALSE,FALSE
Parker,Darius,Aryo,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,FALSE,TRUE,Out,FALSE,FALSE,FALSE
,,Rak,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Rak,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Rak,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Rak,Curveball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Rak,Curveball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,Dom,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dom,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Slider,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dom,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Jack M,Parker,Fastball,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Plant,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,FALSE
,,Bondoc,Curveball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,TRUE
,,Dame,Fastball,TRUE,FALSE,,TRUE,TRUE,TRUE
,,Dame,Fastball,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Dame,Fastball,TRUE,TRUE,,TRUE,TRUE,TRUE
,,Dame,Curveball,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Dame,Fastball,TRUE,TRUE,,TRUE,TRUE,TRUE
,,Dame,Fastball,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Dame,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,TRUE
,,Aryo,Fastball,TRUE,FALSE,,TRUE,TRUE,TRUE
,,Aryo,Fastball,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Aryo,Fastball,TRUE,TRUE,,TRUE,TRUE,TRUE
,,Aryo,Changeup,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Aryo,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,TRUE
,,Rak,Fastball,TRUE,FALSE,,TRUE,TRUE,TRUE
,,Rak,Changeup,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Rak,Fastball,TRUE,TRUE,,TRUE,TRUE,TRUE
,,Rak,Fastball,TRUE,TRUE,Out,TRUE,TRUE,TRUE
,,Dom,Curveball,TRUE,FALSE,,TRUE,TRUE,TRUE
,,Dom,Fastball,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Dom,Curveball,FALSE,FALSE,,TRUE,TRUE,TRUE
,,Dom,Fastball,TRUE,TRUE,Out,TRUE,TRUE,TRUE
Parker,Darius,Plant,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Simms,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Simms,Fastball,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,Bondoc,Curveball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Bondoc,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Bondoc,Curveball,FALSE,TRUE,Out,TRUE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,FALSE
,,Aryo,Fastball,TRUE,FALSE,,TRUE,TRUE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,TRUE,TRUE,FALSE
,,Aryo,Fastball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
Simms,Jon,Dom,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Parker,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Parker,,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,,FALSE,FALSE,,FALSE,FALSE,FALSE
Parker,Patty,Plant,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Plant,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Plant,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Simms,Fastball,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Bondoc,Curveball,TRUE,FALSE,Out,TRUE,FALSE,FALSE
,,Dame,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Jon,Aryo,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,TRUE,Out,FALSE,FALSE,FALSE
,,Rak,Curveball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Rak,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Rak,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Rak,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dom,Changeup,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dom,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Parker,Patty,Plant,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Simms,Changeup,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Changeup,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Bondoc,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Curveball,FALSE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Jon,Dame,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,TRUE,Out,FALSE,FALSE,FALSE
,,Rak,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Rak,Changeup,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Parker,Patty,Dom,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Changeup,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Dom,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Plant,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Plant,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Plant,Curveball,TRUE,TRUE,Hit,FALSE,TRUE,FALSE
,,Simms,Changeup,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Jon,Dame,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Aryo,Curveball,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,Rak,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Rak,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Rak,Changeup,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Rak,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Rak,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Rak,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,FALSE
,,Dom,Curveball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Dom,Fastball,FALSE,TRUE,,TRUE,TRUE,FALSE
,,Dom,Changeup,TRUE,TRUE,Out,TRUE,TRUE,FALSE
,,Parker,Fastball,TRUE,FALSE,,TRUE,TRUE,FALSE
,,Parker,Curveball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Parker,Fastball,TRUE,TRUE,,TRUE,TRUE,FALSE
,,Parker,Changeup,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Parker,Burns,Simms,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Simms,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Simms,Other,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,horn,Other,FALSE,FALSE,,FALSE,FALSE,FALSE
,,horn,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,horn,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,horn,Other,TRUE,TRUE,,FALSE,FALSE,FALSE
,,horn,Changeup,FALSE,TRUE,Out,FALSE,FALSE,FALSE
,,Grier,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Grier,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Grier,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Grier,Fastball,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,Dex,Other,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Dex,Slider,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Dex,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dex,Slider,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Finn,Parker,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Parker,Other,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Fast,Fastball,FALSE,TRUE,,TRUE,FALSE,FALSE
,,Fast,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Fast,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Fast,Other,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Fast,Other,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Fast,Other,FALSE,TRUE,Out,TRUE,FALSE,FALSE
,,horn,Fastball,FALSE,TRUE,,TRUE,FALSE,FALSE
,,horn,Other,FALSE,FALSE,,FALSE,TRUE,FALSE
,,horn,Fastball,TRUE,TRUE,,FALSE,TRUE,FALSE
,,horn,Curveball,TRUE,TRUE,Out,FALSE,FALSE,TRUE
,,Grier,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Grier,Other,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Grier,Fastball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Grier,Fastball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
Parker,Burns,Dex,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dex,Fastball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Dex,Slider,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dex,Fastball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Dex,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dex,Slider,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,Fast,Slider,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Fast,Fastball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Fast,Slider,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Fast,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Fast,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Fast,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Fast,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Fast,Slider,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,TRUE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,TRUE,FALSE
,,Simms,Fastball,FALSE,FALSE,,FALSE,TRUE,FALSE
,,Simms,Fastball,FALSE,FALSE,Walk,TRUE,TRUE,FALSE
,,horn,Slider,FALSE,FALSE,,TRUE,TRUE,FALSE
,,horn,Fastball,TRUE,TRUE,,TRUE,TRUE,FALSE
,,horn,Fastball,TRUE,FALSE,,TRUE,TRUE,FALSE
,,horn,Slider,FALSE,FALSE,,TRUE,TRUE,FALSE
,,horn,Slider,TRUE,TRUE,Out,TRUE,TRUE,FALSE
,,Grier,Fastball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Grier,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Simms,Finn,Dex,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dex,Slider,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dex,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Parker,Curveball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Parker,Other,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Parker,Other,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Parker,Slider,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Fast,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Fast,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Fast,Other,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Fast,Other,TRUE,TRUE,Out,TRUE,FALSE,FALSE
,,horn,Other,FALSE,FALSE,Walk,TRUE,TRUE,FALSE
,,Grier,Fastball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Grier,Fastball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Grier,Fastball,FALSE,FALSE,,TRUE,TRUE,FALSE
,,Grier,Fastball,FALSE,TRUE,,FALSE,FALSE,FALSE
Dame,Dean,T. Burton,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,T. Burton,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Riecker,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Riecker,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Riecker,Slider,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Riecker,Fastball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,Jai,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Jai,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Jai,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Jai,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Jai,Slider,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Jai,Other,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Jai,Jakin,Deagle,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Deagle,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Changeup,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Deagle,Curveball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,Burns,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Burns,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Dame,Dean,T. Burton,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,T. Burton,Curveball,TRUE,TRUE,Hit,FALSE,TRUE,FALSE
,,Riecker,Changeup,TRUE,TRUE,,FALSE,TRUE,FALSE
,,Riecker,Fastball,TRUE,TRUE,Out,FALSE,FALSE,TRUE
,,Jai,Fastball,TRUE,TRUE,Out,FALSE,FALSE,TRUE
,,Deagle,Fastball,FALSE,FALSE,,FALSE,FALSE,TRUE
,,Deagle,Fastball,TRUE,FALSE,,FALSE,FALSE,TRUE
,,Deagle,Slider,TRUE,TRUE,,FALSE,FALSE,TRUE
,,Deagle,Curveball,TRUE,FALSE,Out,FALSE,FALSE,TRUE
Jai,Jakin,B. Burton,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,B. Burton,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,FALSE,Out,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Burns,Fastball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Burns,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Burns,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Burns,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Burns,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Dame,Dean,T. Burton,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,T. Burton,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,T. Burton,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Riecker,Curveball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Riecker,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Riecker,Curveball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
,,Jai,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Jai,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Jai,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Jai,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Jai,Jakin,Deagle,Fastball,TRUE,TRUE,,FALSE,FALSE,FALSE
,,Deagle,Changeup,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Curveball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Curveball,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Deagle,Fastball,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,B. Burton,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,B. Burton,Curveball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,B. Burton,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Dame,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Dame,Fastball,FALSE,TRUE,,TRUE,FALSE,FALSE
