Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Balls before pitch,Strikes before pitch,Outs,1B occupied?,2B occupied,3B occupied,
,,Plant,Cutter,FALSE,FALSE,1,2,2,FALSE,FALSE,FALSE,
,,Plant,4-seam fastball,TRUE,TRUE,2,2,2,FALSE,FALSE,FALSE,
Simon,Jakin,Aryo,Curveball,TRUE,FALSE,0,0,2,FALSE,FALSE,FALSE,
,,Aryo,4-seam fastball,TRUE,TRUE,0,1,2,FALSE,FALSE,FALSE,
,,Aryo,Curveball,TRUE,FALSE,0,2,2,FALSE,FALSE,FALSE,
Simms,Burns,Simon,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Simon,4-seam fastball,TRUE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,Simon,4-seam fastball,TRUE,TRUE,1,1,0,FALSE,FALSE,FALSE,
,,Simon,Cutter,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,
,,Simon,4-seam fastball,TRUE,FALSE,2,2,0,FALSE,FALSE,FALSE,
,,Fast,Cutter,FALSE,FALSE,0,0,1,FALSE,FALSE,FALSE,
,,Fast,Changeup,TRUE,TRUE,1,0,1,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,FALSE,FALSE,1,1,1,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,TRUE,TRUE,2,1,1,FALSE,FALSE,FALSE,
,,Fast,Changeup,TRUE,TRUE,2,2,1,FALSE,FALSE,FALSE,
Simon,Jakin,Rak,4-seam fastball,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,
,,Rak,Changeup,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,TRUE,TRUE,1,1,0,FALSE,FALSE,FALSE,
,,Rak,Changeup,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,3,2,0,FALSE,FALSE,FALSE,
Simms,Eddie,Plant,Slider,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Plant,4-seam fastball,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,HBP
,,Parker,4-seam fastball,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,
,,Parker,4-seam fastball,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,Dame,Slider,TRUE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,1,1,2,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,2,1,2,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,TRUE,TRUE,2,2,2,FALSE,FALSE,FALSE,
,,Aryo,4-seam fastball,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,
,,Aryo,4-seam fastball,FALSE,FALSE,1,0,2,TRUE,FALSE,FALSE,
,,Aryo,4-seam fastball,TRUE,TRUE,2,0,2,TRUE,FALSE,FALSE,
,,Aryo,Changeup,FALSE,TRUE,2,1,2,TRUE,FALSE,FALSE,
,,Aryo,4-seam fastball,TRUE,TRUE,2,2,2,FALSE,FALSE,FALSE,
,,Aryo,Changeup,FALSE,TRUE,2,2,2,FALSE,FALSE,FALSE,
Simon,Linder,Simms,4-seam fastball,TRUE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Simms ,4-seam fastball,TRUE,TRUE,0,1,0,FALSE,FALSE,FALSE,
,,Simms,4-seam fastball,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,
,,Simms,4-seam fastball,TRUE,TRUE,1,2,0,FALSE,FALSE,FALSE,
,,Simms,Curveball,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,
,,Simms,4-seam fastball,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,
,,Simms,4-seam fastball,FALSE,FALSE,3,2,0,FALSE,FALSE,FALSE,BB
,,Fast,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,FALSE,FALSE,
,,Rak,4-seam fastball,TRUE,TRUE,0,0,2,FALSE,FALSE,FALSE,
,,Rak,Changeup,FALSE,FALSE,0,1,2,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,TRUE,FALSE,1,1,2,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,1,2,2,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,2,2,2,FALSE,FALSE,FALSE,
